AnimalID;Breed;ShotsDate;Sex;ReceiptNumber;DateImpounded;PitNumber;Name;KennelNumber;DispositionDate;Color;Code;ApproxWeight;Age category;Source;Status;ACO;EnteredBy
16736;Maltipoo;2008-10-22;M/N;n/c;2008-09-21;20045;Charlie;200;;Black;;20 lbs;;POLICE-EMERGENCY;Redeemed;12;Jeanette Nelson
16737;Boxer;;M;08-199138diak;2008-09-21;20047;Rex;200;;Brindle;;;;PATROL;Redeemed;18;Steve Anderson
16738;Pomeranian;;F;08-199181DI mw;2008-09-21;20024;Roxie;200;;Black & Brown;;;;HOLDING STRAY;Redeemed;;Mariana Ardeleanu
16740;Vizsla  X;;F/S;08-199367DI-TU;2008-09-21;20064;Baru;200;;Tan;;40 lbs;;HOLDING STRAY;Redeemed;2;Sam Hurley
16741;English Bulldog;;M/N;08-199473DI-TU;2008-09-22;20012;Pepsi;200;;Tan;;50lbs;;HOLDING STRAY;Redeemed;21;Guy Palanuik
16742;Shih Tzu;;M;;2008-09-22;10000;;100;;White & Tan;;15 lbs;;BROUGHT-IN;Transferred;;Rachel Blyth
16744;Husky X;;M/N;28952  ks19;2008-09-22;20072;?;200;;Grey & White;;50lbs;;HOLDING STRAY;Redeemed;5;Bill Stevenson
16748;Schnauzer (Min);;F/S;;2008-09-25;40023;Jasmine;400;;Grey & White;;20lbs;;BROUGHT-IN;Ride Home Free;;Tammy Unrau
16750;Beagle;;F/S;;2008-09-26;40000;Snoopy;400;;Tri Colour;;70 lbs;;HOLDING STRAY;Ride Home Free;23;Brad1 Martin
16751;Cairn Terrier X;;F/S;;2008-09-27;40081;Nellie;400;;Blonde Brindle;;;;BROUGHT-IN;Ride Home Free;;Katie Ernst
16754;Beagle   X;;M/N;;2008-09-27;40050;Bill;400;;Black;;40 lbs;;HOLDING STRAY;Ride Home Free;23;Brad1 Martin
16755;Chow Chow;;M;08-199931DI/MW;2008-09-29;20016;Bobo;200;;Lite Orange;;55/bs;;HOLDING STRAY;Redeemed;21;Guy Palanuik
16814;Poodle X Dachshund;2008-10-03;F/S;08/203645 rf;2008-09-25;20013;Trixie;200;;White;;12;;BROUGHT-IN;Sold;KE;Katie Ernst
16815;Beagle X Hound;2008-09-25;M/N;1135942;2008-09-25;40005;Taylor;400;;Brown & White;;35;;BROUGHT-IN;Ride Home Free;KE;Katie Ernst
16816;American Bulldog;;F;28947-TU;2008-09-29;20082;Nancy;200;;White & Brindle;;75lbs;;POLICE-EMERGENCY;Redeemed;5;Bill Stevenson
16817;Bichon X;2008-10-03;M/N;08/204298 rf;2008-09-29;20026;Tofu;200;;White;;15 lbs;;HOLDING STRAY;Sold;22;Lori Fitzgerald
16818;Rabbit;;M/N;08/212253;2008-07-26;20000;Oreo;200;;Black & White;;5;;BROUGHT-IN;Sold;;Sam Hurley
16820;Rabbit;;M;;2008-08-14;10000;Moosetracks;100;;White & Brown;;7lbs;;HOLDING STRAY;Transferred;17;Dalia Tauber
16826;Sheltie;;F;;2008-10-03;40037;Sha Sha;400;;White Tan;;20lbs;;HOLDING STRAY;Ride Home Free;21;Guy Palanuik
16828;Border Collie X;2008-10-07;F/S;08-205666DA-TU;2008-10-03;20024;Lina;200;;Black & Tan;;19;;HOLDING STRAY;Sold;21;Guy Palanuik
16830;Lab;;M/N;;2008-10-04;40037;;400;;Black;;;;HOLDING STRAY;Ride Home Free;MA#11;Jez Figol
16831;Boxer;;M/N;08/203652 rf;2008-10-04;20023;Winston;200;;Black & White;;;;HOLDING STRAY;Redeemed;MA#11;Mariana Ardeleanu
16836;Beagle;;M/N;TU;2008-10-05;40023;Joe;400;;Tri Colour;;25 lbs;;HOLDING STRAY;Ride Home Free;5;Bill Stevenson
16837;Chihuahua;;F;08-203839DI;2008-10-05;20088;Kimchi;200;;Cream & White;;;;SPCA;Redeemed;MA#11;Mariana Ardeleanu
16838;Lab;;M/N;08/203833 rf;2008-10-05;20021;Casey;200;;Yellow;;65 lbs;;HOLDING STRAY;Redeemed;15;Ching Koo
16841;Pitbull X;2008-12-10;M/N;;2008-10-06;10000;;100;;Brindle;;60 lbs;;COMPLAINT;Transferred;22;Lori Fitzgerald
16849;Mice (X 2);;;;2008-10-07;20000;;200;;White;;;;BROUGHT-IN;Sold;KE;Tammy Unrau
16851;Chow Chow X;;F;n/c rf;2008-10-07;40037;Shady;400;;Tan;;45 lbs;;COMPLAINT;Ride Home Free;15;Ching Koo
16852;Timber Wolf X;;M;n/c rf;2008-10-07;40010;Rukus;400;;White & Grey & Black;;90 lbs;;COMPLAINT;Ride Home Free;15;Ching Koo
16855;Shep X;2008-10-04;F/S;08-205030DA mw;2008-10-08;20073;Cedar;200;;Red & Black;;10;;BROUGHT-IN;Sold;KE;Katie Ernst
16856;Border Collie X;2008-10-10;F;08-204301daak;2008-10-08;20067;Sasha (was Elfin);200;;Tri Color;;10;;BROUGHT-IN;Sold;KE;Katie Ernst
16861;German Shepherd;2008-10-10;F/S;08205106DASBH;2008-10-10;20062;Freya (new name);200;;Black & Tan;;50;;BROUGHT-IN;Sold;KE;Katie Ernst
16862;Poodle X;2008-10-10;M/N;08-205639DAAK;2008-10-10;20059;Zooki;200;;Grey;;10;;BROUGHT-IN;Sold;KE;Katie Ernst
16864;Lab X Husky;2008-10-17;M/N;08-205377daak;2008-10-11;20064;Perogy;200;;Black;;75;;BROUGHT-IN;Sold;KE;Katie Ernst
16866;Border Collie;;M/N;08-204359DI-TU;2008-10-12;20026;Shep;200;;Black & White;;60 lbs;;BROUGHT-IN;Redeemed;12;Jeanette Nelson
16867;Irish Terrier;;M;;2008-10-13;40000;Zieten;400;;Red;;50 lbs;;HOLDING STRAY;Ride Home Free;15;Ching Koo
16871;Chicken;;F;n/c ak;2008-10-14;10000;chicken little;100;;White;;;;BROUGHT-IN;Transferred;12;Jeanette Nelson
